"","Country","Subject.Descriptor","Units","Scale","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"2393","Equatorial Guinea","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",12928.33,19865.69,22813.4,25050.96,31303,32419.37,33005.96,36347.34,40889.49,39583.93,34459.66,35113.41,36410,33450.83,32231.18,28149.29,24698.8,22449.9,20309.55,18446.49,16967.78,17110.71
"2394","Equatorial Guinea","GDP p.c. Domestic currency","National currency","Units",1339441.73,1916309,2155959.47,3145439.09,4331593.15,5699897.56,6657451.18,7554126.42,10184159.01,7805338.4,8487287.41,10122418.01,11005765.49,10002824.46,9515338.79,6632203.96,5453476.03,5588549.72,5536739.67,4918380.47,4101914.62,4643747.76
"2395","Equatorial Guinea","GDP p.c. U.S. Dollars","U.S. dollars","Units",1885.99,2616.49,3107.85,5424.13,8214.07,10810.45,12743.35,15782.69,22834.44,16596.74,17153.17,21480,21556.42,20252.75,19271.29,11217.99,9202.54,9624.53,9968.09,8394.42,7136.81,8625.76
"2396","Equatorial Guinea","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",9957.14,15644.86,18246.3,20431.35,26215.8,28002.18,29388.54,33238.32,38108.99,37128.65,32710.74,34023.85,37302.87,34530.77,33482.87,23902.97,20353.11,22449.9,20794.71,19225.02,17897.01,18698.14
"2398","Equatorial Guinea","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",0.012,0.019,0.022,0.024,0.03,0.031,0.031,0.034,0.039,0.04,0.035,0.035,0.039,0.036,0.035,0.025,0.022,0.023,0.021,0.019,0.019,0.019
"2399","Equatorial Guinea","Implied PPP conversion rate","National currency per current international dollar","",134.521,122.488,118.159,153.952,165.228,203.552,226.532,227.272,267.238,210.224,259.465,297.509,295.038,289.679,284.185,277.464,267.943,248.934,266.257,255.832,229.196,248.354
"2400","Equatorial Guinea","Total investment","Percent of GDP","",60.229,52.688,55.424,43.328,34.941,28.897,26.501,29.586,27.542,39.393,38.056,32.049,41.148,30.308,28.709,24.701,16.699,14.032,12.501,7.711,5.31,11.106
"2401","Equatorial Guinea","Gross national savings","Percent of GDP","",51.667,-27.535,-19.62,17.476,18.069,22.488,45.714,46.246,35.392,29.661,17.812,26.375,40.023,27.911,24.458,8.266,3.725,8.216,7.245,1.657,-1.009,6.882
"2402","Equatorial Guinea","Inflation, average consumer prices","Index","",64.363,69.988,75.294,80.808,84.232,88.981,92.954,95.555,100,105.737,111.362,116.706,120.724,124.561,129.913,132.114,133.961,134.96,136.776,138.436,145.078,145.827
"2403","Equatorial Guinea","Inflation, average consumer prices","Percent change","",4.836,8.739,7.582,7.324,4.237,5.637,4.465,2.798,4.652,5.737,5.32,4.799,3.442,3.179,4.296,1.695,1.398,0.746,1.346,1.213,4.798,0.516
"2404","Equatorial Guinea","Inflation, end of period consumer prices","Index","",64.39,72.233,76.711,81.209,85.346,88.046,91.398,94.813,100,104.997,110.697,116.143,119.121,124.917,128.133,130.187,132.791,132.492,135.923,141.536,140.868,145.417
"2405","Equatorial Guinea","Inflation, end of period consumer prices","Percent change","",6.616,12.181,6.2,5.863,5.095,3.163,3.807,3.737,5.47,4.997,5.429,4.919,2.564,4.866,2.575,1.603,2,-0.225,2.59,4.129,-0.471,3.229
"2407","Equatorial Guinea","Volume of imports of goods and services","Percent change","",-35.725,-38.49,72.527,-3.771,-15.358,107.891,131.168,40.95,20.231,-10.247,29.52,-19.383,23.81,-17.663,-5.643,-15.453,-16.286,8.33,6.197,-15.982,-7.81,-24.943
"2408","Equatorial Guinea","Volume of Imports of goods","Percent change","",-33.617,-33.266,63.516,-1.077,-9.575,106.772,159.369,37.784,56.302,-29.225,42.978,-30.24,22.548,-17.43,-8.497,-15.835,-20.832,5.042,3.914,-15.888,1.222,-31.218
"2409","Equatorial Guinea","Volume of exports of goods and services","Percent change","",-11.996,40.963,11.79,3.067,59.081,48.573,8.538,1.652,20.691,-16.277,0.381,-7.351,8.106,-3.148,6.425,0.996,-11.144,-3.588,-5.907,-9.778,-8.815,-32.416
"2410","Equatorial Guinea","Volume of exports of goods","Percent change","",-11.148,40.072,13.35,3.238,58.85,48.769,6.79,3.1,20.56,-15.926,0.188,-7.72,7.723,-3.19,6.517,-2.411,-12.726,-3.099,-5.388,-10.994,-9.252,-32.598
"2413","Equatorial Guinea","Population","Persons","Millions",0.614,0.64,0.666,0.695,0.725,0.757,0.792,0.829,0.868,0.909,0.951,0.994,1.039,1.084,1.129,1.175,1.221,1.268,1.314,1.36,1.406,1.452
"2414","Equatorial Guinea","General government revenue","National currency","Billions",164.389,348,414.482,471.162,773.525,1410.19,2103.73,2308.53,3051.79,2368.09,2150.93,2851.01,3196.08,2696.07,2585.36,2063.74,1125.88,1238.35,1446.51,1239.98,819.733,1108.16
"2415","Equatorial Guinea","General government revenue","Percent of GDP","",19.978,28.385,28.849,21.565,24.638,32.669,39.888,36.849,34.506,33.373,26.646,28.327,27.961,24.87,24.057,26.474,16.902,17.48,19.884,18.536,14.211,16.431
"2416","Equatorial Guinea","General government total expenditure","National currency","Billions",186.337,165.219,161.699,301.11,337.935,609.587,954.248,1233.48,1759.33,2827.52,2516.85,2767.02,4023.5,3173.41,3395.78,3240.62,1853.09,1421.84,1407.9,1118.56,920.589,1163.03
"2417","Equatorial Guinea","General government total expenditure","Percent of GDP","",22.645,13.476,11.255,13.782,10.764,14.122,18.093,19.689,19.893,39.847,31.179,27.493,35.2,29.274,31.598,41.571,27.818,20.07,19.353,16.721,15.959,17.245
"2418","Equatorial Guinea","General government net lending/borrowing","National currency","Billions",-21.948,182.781,252.783,170.052,435.59,800.602,1149.48,1075.05,1292.46,-459.435,-365.921,83.994,-827.423,-477.339,-810.417,-1176.88,-727.217,-183.492,38.606,121.419,-100.856,-54.869
"2419","Equatorial Guinea","General government net lending/borrowing","Percent of GDP","",-2.667,14.909,17.594,7.783,13.874,18.547,21.795,17.16,14.614,-6.475,-4.533,0.835,-7.239,-4.403,-7.541,-15.097,-10.917,-2.59,0.531,1.815,-1.748,-0.814
"2422","Equatorial Guinea","General government primary net lending/borrowing","National currency","Billions",-18.259,189.857,256.705,170.565,438.138,802.78,1150.62,1075.92,1295,-456.004,-346.371,111.757,-795.577,-439.597,-760.397,-1146.44,-699.906,-153.528,86.187,178.812,-24.637,60.807
"2423","Equatorial Guinea","General government primary net lending/borrowing","Percent of GDP","",-2.219,15.486,17.867,7.807,13.955,18.597,21.816,17.174,14.642,-6.426,-4.291,1.11,-6.96,-4.055,-7.076,-14.707,-10.507,-2.167,1.185,2.673,-0.427,0.902
"2424","Equatorial Guinea","General government net debt","National currency","Billions",301.389,312.344,279.4,146.672,142.097,122.975,64.352,47.228,43.167,307.749,637.236,721.676,811.251,679.923,1349.8,911.389,1717.98,2174.72,2172.97,2119.85,2190.02,2120.61
"2425","Equatorial Guinea","General government net debt","Percent of GDP","",36.627,25.477,19.447,6.713,4.526,2.849,1.22,0.754,0.488,4.337,7.894,7.17,7.097,6.272,12.56,11.691,25.79,30.697,29.87,31.689,37.965,31.443
"2426","Equatorial Guinea","General government gross debt","National currency","Billions",301.389,312.344,279.4,146.672,142.097,122.975,64.352,47.228,43.167,307.749,637.236,721.676,811.251,679.923,1349.8,2467.77,2740.45,2567.09,2997.71,2875.72,2818.67,2880.01
"2427","Equatorial Guinea","General government gross debt","Percent of GDP","",36.627,25.477,19.447,6.713,4.526,2.849,1.22,0.754,0.488,4.337,7.894,7.17,7.097,6.272,12.56,31.657,41.139,36.235,41.207,42.989,48.864,42.703
"2428","Equatorial Guinea","Gross domestic product corresponding to fiscal year, current prices","National currency","Billions",822.85,1225.98,1436.75,2184.86,3139.61,4316.63,5274.15,6264.84,8844.11,7095.92,8072.29,10064.62,11430.51,10840.52,10746.85,7795.42,6661.37,7084.54,7274.69,6689.51,5768.44,6744.35
"2429","Equatorial Guinea","Current account balance","U.S. dollars","Billions",-0.352,-0.817,-1.117,-0.188,0.454,1.376,1.94,2.181,1.557,-1.468,-3.303,-1.212,-0.252,-0.526,-0.925,-2.167,-1.458,-0.71,-0.689,-0.691,-0.634,-0.529
"2430","Equatorial Guinea","Current account balance","Percent of GDP","",-30.391,-48.795,-53.927,-4.999,7.634,16.805,19.213,16.66,7.85,-9.732,-20.244,-5.675,-1.125,-2.397,-4.251,-16.435,-12.974,-5.816,-5.257,-6.054,-6.319,-4.224
"2431","Eritrea","Gross domestic product, constant prices","National currency","Billions",22.117,24.053,24.776,24.118,24.468,25.098,24.855,25.21,20.31,22.784,25.256,31.749,32.348,28.966,37.926,30.105,32.33,29.093,32.884,34.145,33.931,34.919
"2432","Eritrea","Gross domestic product, constant prices","Percent change","",-12.355,8.755,3.005,-2.656,1.452,2.574,-0.969,1.427,-19.436,12.179,10.853,25.71,1.886,-10.456,30.934,-20.621,7.391,-10.015,13.032,3.836,-0.627,2.911
"2433","Eritrea","GDP Domestic Currency","National currency","Billions",5.262,6.585,7.878,9.347,11.834,13.064,14.411,15.682,14.186,19.936,24.439,31.749,34.669,30.104,40.04,30.953,33.366,28.702,30.235,29.876,31.415,33.981
"2434","Eritrea","GDP U.S. Dollars","U.S. dollars","Billions",0.547,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.016,2.213,1.904,2.006,1.982,2.084,2.254
"2435","Eritrea","Gross domestic product, current prices","Purchasing power parity; international dollars","Billions",2.893,3.217,3.365,3.34,3.48,3.681,3.758,3.915,3.214,3.629,4.071,5.224,5.425,4.943,6.594,5.312,5.744,5.247,6.073,6.419,6.455,6.883
"2436","Eritrea","Gross domestic product, deflator","Index","",23.79,27.377,31.798,38.753,48.364,52.051,57.981,62.207,69.85,87.504,96.764,100,107.173,103.928,105.574,102.815,103.205,98.658,91.945,87.498,92.584,97.313
"2437","Eritrea","Gross domestic product per capita, constant prices","National currency","Units",9649.56,10127.67,9986.34,9272.65,8995.7,8878.04,8517.81,8411.62,6630.73,7302.41,7967.22,9878.47,9953.29,8828.35,11454.61,9005.47,9573.7,8524.06,9523.31,9764.2,9568.93,9697.08
"2438","Eritrea","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",1740.45,1826.69,1801.2,1672.47,1622.52,1601.3,1536.32,1517.17,1195.96,1317.11,1437.02,1781.74,1795.24,1592.33,2066.02,1624.28,1726.77,1537.45,1717.68,1761.13,1725.91,1749.02
"2439","Eritrea","GDP p.c. Domestic currency","National currency","Units",2295.64,2772.65,3175.46,3593.45,4350.65,4621.09,4938.75,5232.63,4631.54,6389.87,7709.4,9878.47,10667.23,9175.1,12093.05,9259.02,9880.51,8409.7,8756.24,8543.46,8859.34,9436.56
"2440","Eritrea","GDP p.c. U.S. Dollars","U.S. dollars","Units",238.508,245.162,227.498,258.933,315.55,300.697,321.219,340.334,301.238,415.601,501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,587.684,625.974
"2441","Eritrea","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",1262.07,1354.45,1356.36,1284.29,1279.37,1302.24,1287.95,1306.26,1049.45,1163.16,1284.31,1625.49,1669.21,1506.53,1991.68,1589.08,1700.79,1537.45,1758.71,1835.46,1820.43,1911.29
"2443","Eritrea","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.005,0.005,0.005,0.005,0.006,0.005,0.005,0.004,0.005,0.005,0.005,0.005
"2444","Eritrea","Implied PPP conversion rate","National currency per current international dollar","",1.819,2.047,2.341,2.798,3.401,3.549,3.835,4.006,4.413,5.494,6.003,6.077,6.391,6.09,6.072,5.827,5.809,5.47,4.979,4.655,4.867,4.937
"2445","Eritrea","Total investment","Percent of GDP","",26.921,42.27,29.915,31.832,24.467,25.56,17.23,15.879,18.159,12.524,18.173,12.846,10.226,10.854,7.384,10.284,6.926,8.657,2.927,4.033,6.962,7.542
"2446","Eritrea","Gross national savings","Percent of GDP","",5.842,17.495,29.845,29.483,23.598,25.992,12.599,7.982,10.517,1.205,7.167,25.642,22.667,13.133,24.719,31.046,22.249,32.618,18.367,16.099,17.87,19.984
"2447","Eritrea","Inflation, average consumer prices","Index","",100,114.625,133.97,164.34,205.606,231.319,266.156,291.197,355.75,476.177,525.209,556.126,582.561,617.151,679.071,872.494,823.838,714.218,611.366,511.314,536.071,559.156
"2448","Eritrea","Inflation, average consumer prices","Percent change","",19.947,14.625,16.877,22.669,25.111,12.506,15.06,9.409,22.168,33.852,10.297,5.887,4.753,5.938,10.033,28.483,-5.577,-13.306,-14.401,-16.365,4.842,4.306
"2449","Eritrea","Inflation, end of period consumer prices","Index","",100,107.749,133.412,161.225,189.251,224.261,243.889,280.193,382.494,455.034,476.394,513.114,547.016,601.36,609.428,919.208,716.621,586.458,414.755,527.589,548.692,570.64
"2450","Eritrea","Inflation, end of period consumer prices","Percent change","",26.835,7.749,23.818,20.848,17.383,18.499,8.752,14.886,36.511,18.965,4.694,7.708,6.607,9.935,1.342,50.831,-22.039,-18.163,-29.278,27.205,4,4
"2452","Eritrea","Volume of imports of goods and services","Percent change","",-28.317,40.06,-28.448,10.891,-3.271,-19.903,-35.169,-29.104,-20.541,51.989,-5.382,-12.809,5.103,2.117,27.855,6.396,-11.422,-3.285,11.6,3.701,-1.323,5.312
"2453","Eritrea","Volume of Imports of goods","Percent change","",-15.982,20.46,-32.995,15.66,0.428,-21.634,-38.219,-21.088,-19.265,53.197,-6.838,-21.359,4.914,17.767,8.989,6.698,-4.262,-10.758,14.682,5.401,-0.627,4.911
"2454","Eritrea","Volume of exports of goods and services","Percent change","",22.511,-3.823,7.163,-28.238,9.1,3.3,20.547,-10.86,-21.362,28.486,-5.856,357.948,2.428,-48.158,214.897,-11.753,-31.103,27.826,8.025,-14.142,-7.337,11.533
"2455","Eritrea","Volume of exports of goods","Percent change","",-26.014,18.001,-24.207,119.1,-74.696,175.715,-9.602,11.621,-5.225,28.486,-5.856,1776.89,1.202,-54.794,267.245,-13.628,-33.878,30.509,8.875,-14.541,-8.428,9.67
"2458","Eritrea","Population","Persons","Millions",2.292,2.375,2.481,2.601,2.72,2.827,2.918,2.997,3.063,3.12,3.17,3.214,3.25,3.281,3.311,3.343,3.377,3.413,3.453,3.497,3.546,3.601
"2459","Eritrea","General government revenue","National currency","Billions",3.122,3.287,3.686,6.017,5.846,5.957,5.043,4.921,4.457,4.542,6.336,8.493,9.744,7.557,8.599,8.764,9.843,10.55,9.549,9.482,9.853,10.899
"2460","Eritrea","General government revenue","Percent of GDP","",59.342,49.915,46.782,64.379,49.402,45.599,34.993,31.376,31.417,22.78,25.928,26.749,28.108,25.105,21.477,28.315,29.5,36.755,31.581,31.737,31.364,32.073
"2461","Eritrea","General government total expenditure","National currency","Billions",5.042,5.875,6.368,8.093,8.386,9.704,7.664,8.093,8.941,8.737,10.661,10.397,11.681,9.973,8.745,9.736,10.396,12.282,8.275,9.962,11.438,12.402
"2462","Eritrea","General government total expenditure","Percent of GDP","",95.823,89.22,80.834,86.586,70.863,74.282,53.181,51.608,63.022,43.826,43.622,32.746,33.693,33.128,21.841,31.455,31.158,42.792,27.369,33.343,36.408,36.495
"2463","Eritrea","General government net lending/borrowing","National currency","Billions",-1.92,-2.588,-2.683,-2.076,-2.54,-3.747,-2.621,-3.173,-4.484,-4.196,-4.324,-1.904,-1.936,-2.415,-0.146,-0.972,-0.553,-1.733,1.273,-0.48,-1.584,-1.503
"2464","Eritrea","General government net lending/borrowing","Percent of GDP","",-36.482,-39.305,-34.052,-22.207,-21.461,-28.683,-18.188,-20.232,-31.605,-21.046,-17.694,-5.998,-5.585,-8.023,-0.364,-3.139,-1.657,-6.037,4.212,-1.606,-5.043,-4.422
"2467","Eritrea","General government primary net lending/borrowing","National currency","Billions",-1.745,-2.322,-2.332,-1.694,-2.065,-3.219,-2.02,-2.529,-3.696,-3.291,-3.301,-0.813,-0.802,-1.82,0.493,-0.357,0.169,-1.127,1.725,0.047,-1.079,-0.994
"2468","Eritrea","General government primary net lending/borrowing","Percent of GDP","",-33.156,-35.263,-29.596,-18.119,-17.453,-24.641,-14.016,-16.126,-26.051,-16.505,-13.507,-2.561,-2.314,-6.046,1.232,-1.152,0.508,-3.926,5.704,0.156,-3.434,-2.925
"2471","Eritrea","General government gross debt","National currency","Billions",11.526,15.707,19.175,24.669,22.895,26.824,28.685,31.565,36.837,41.248,48.478,51.042,53.599,56.291,54.68,55.936,55.892,58.133,56.119,56.571,58.085,59.503
"2472","Eritrea","General government gross debt","Percent of GDP","",219.06,238.521,243.392,263.937,193.475,205.332,199.046,201.28,259.667,206.896,198.365,160.764,154.606,186.991,136.562,180.712,167.511,202.536,185.607,189.35,184.895,175.106
"2473","Eritrea","Gross domestic product corresponding to fiscal year, current prices","National currency","Billions",5.262,6.585,7.878,9.347,11.834,13.064,14.411,15.682,14.186,19.936,24.439,31.749,34.669,30.104,40.04,30.953,33.366,28.702,30.235,29.876,31.415,33.981
"2474","Eritrea","Current account balance","U.S. dollars","Billions",-0.115,-0.144,NA,-0.016,-0.007,0.004,-0.043,-0.081,-0.071,-0.147,-0.175,0.264,0.281,0.045,0.451,0.419,0.339,0.456,0.31,0.239,0.227,0.28
"2475","Eritrea","Current account balance","Percent of GDP","",-21.079,-24.775,-0.07,-2.348,-0.869,0.432,-4.631,-7.897,-7.642,-11.319,-11.006,12.796,12.441,2.278,17.335,20.762,15.323,23.961,15.44,12.066,10.908,12.442
"2476","Estonia","Gross domestic product, constant prices","National currency","Billions",12.541,13.294,14.194,15.273,16.312,17.866,19.61,21.097,20.014,17.086,17.504,18.775,19.381,19.664,20.256,20.631,21.282,22.515,23.446,24.406,23.686,25.699
"2477","Estonia","Gross domestic product, constant prices","Percent change","",10.088,6.004,6.771,7.6,6.804,9.524,9.766,7.579,-5.132,-14.629,2.444,7.263,3.228,1.458,3.011,1.853,3.155,5.792,4.134,4.096,-2.951,8.5
"2478","Estonia","GDP Domestic Currency","National currency","Billions",6.172,6.987,7.823,8.744,9.777,11.343,13.569,16.401,16.618,14.132,14.741,16.677,17.917,18.911,20.048,20.631,21.748,23.834,25.818,27.732,26.835,30.175
"2479","Estonia","GDP U.S. Dollars","U.S. dollars","Billions",5.707,6.269,7.391,9.891,12.158,14.126,17.047,22.476,24.433,19.693,19.568,23.21,23.034,25.116,26.641,22.893,24.066,26.915,30.503,31.049,30.626,36.039
"2480","Estonia","Gross domestic product, current prices","Purchasing power parity; international dollars","Billions",17.307,18.76,20.342,22.32,24.479,27.651,31.288,34.569,33.423,28.717,29.772,32.598,34.385,36.198,38.05,38.389,41.197,44.663,47.621,50.458,49.559,55.71
"2481","Estonia","Gross domestic product, deflator","Index","",49.212,52.558,55.111,57.254,59.94,63.492,69.193,77.744,83.032,82.709,84.217,88.826,92.444,96.17,98.974,100,102.187,105.856,110.116,113.628,113.293,117.416
"2482","Estonia","Gross domestic product per capita, constant prices","National currency","Units",8977.2,9576.97,10290.44,11142.26,11971.73,13187.22,14560.63,15735.83,14968.35,12803.27,13146.16,14143.86,14652.81,14919.51,15399.78,15684.4,16174.62,17090.75,17735.43,18394.06,17816,19325.2
"2483","Estonia","Gross domestic product per capita, constant prices","Purchasing power parity; 2017 international dollar","Units",17808.19,18997.96,20413.27,22103.04,23748.46,26159.65,28884.09,31215.35,29692.9,25397.99,26078.19,28057.35,29066.95,29596.01,30548.74,31113.33,32085.78,33903.13,35181.98,36488.52,35341.82,38335.63
"2484","Estonia","GDP p.c. Domestic currency","National currency","Units",4417.84,5033.5,5671.21,6379.44,7175.86,8372.81,10074.87,12233.59,12428.54,10589.51,11071.26,12563.48,13545.59,14348.13,15241.81,15684.4,16528.4,18091.64,19529.61,20900.78,20184.25,22690.91
"2485","Estonia","GDP p.c. U.S. Dollars","U.S. dollars","Units",4084.94,4516.22,5358.42,7216.27,8923.19,10426.69,12657.06,16764.94,18273.3,14756.39,14696.81,17484.73,17414.24,19056.28,20253.97,17403.81,18290.29,20430.57,23074.04,23400.47,23035.91,27100.74
"2486","Estonia","Gross domestic product per capita, current prices","Purchasing power parity; international dollars","Units",12388.95,13514.42,14747.55,16283.48,17965.33,20409.94,23230.94,25784.4,24997.17,21518.51,22360.39,24557.24,25996.09,27464.52,28927.86,29183.78,31309.61,33903.13,36022.42,38028.51,37277.29,41892.18
"2487","Estonia","Output gap in percent of potential GDP","Percent of potential GDP","",-0.951,-0.897,-0.662,0.249,1.251,5.06,9.047,11.841,3.629,-10.985,-8.276,-2.731,-1.58,-2.324,-1.674,-2.063,-1.4,1.1,2.037,2.099,-2.966,0.74
"2488","Estonia","Gross domestic product based on purchasing-power-parity (PPP) share of world total","Percent","",0.034,0.036,0.037,0.038,0.039,0.041,0.042,0.043,0.04,0.034,0.033,0.034,0.034,0.034,0.035,0.034,0.036,0.037,0.037,0.037,0.038,0.039
"2489","Estonia","Implied PPP conversion rate","National currency per current international dollar","",0.357,0.372,0.385,0.392,0.399,0.41,0.434,0.474,0.497,0.492,0.495,0.512,0.521,0.522,0.527,0.537,0.528,0.534,0.542,0.55,0.541,0.542
"2490","Estonia","Total investment","Percent of GDP","",28.49,29.588,32.952,35.258,34.663,33.361,39.885,40.008,31.648,21.018,21.696,25.679,29.403,27.142,27.05,24.94,25.059,26.32,26.913,26.075,30.244,31.323
"2491","Estonia","Gross national savings","Percent of GDP","",23.08,22.487,21.885,22.388,22.741,24.682,24.958,25.148,22.991,23.568,23.479,26.995,27.506,27.434,27.766,26.714,26.29,28.611,27.837,28.07,29.651,29.511
"2492","Estonia","Inflation, average consumer prices","Index","",58.224,61.5,63.707,64.59,66.553,69.293,72.372,77.253,85.447,85.617,87.963,92.432,96.332,99.459,99.933,100,100.8,104.48,108.045,110.496,109.795,113.967
"2493","Estonia","Inflation, average consumer prices","Percent change","",3.932,5.626,3.588,1.387,3.038,4.117,4.444,6.745,10.606,0.199,2.741,5.08,4.219,3.247,0.476,0.068,0.8,3.651,3.412,2.268,-0.634,3.8
"2494","Estonia","Inflation, end of period consumer prices","Index","",59.65,62.16,63.84,64.6,67.7,70.18,73.76,80.94,87.04,85.41,90.04,93.72,97.13,99.12,99.18,99.01,101.34,105.15,108.64,110.59,109.62,117.293
"2495","Estonia","Inflation, end of period consumer prices","Percent change","",5.036,4.208,2.703,1.19,4.799,3.663,5.101,9.734,7.536,-1.873,5.421,4.087,3.638,2.049,0.061,-0.171,2.353,3.76,3.319,1.795,-0.877,7
"2497","Estonia","Volume of imports of goods and services","Percent change","",-5.352,12.363,13.287,14.002,16.136,16.7,20.703,12.982,-6.159,-30.604,21.255,27.189,9.688,2.446,3.047,-1.887,6.497,3.991,5.689,3.8,0.856,14.561
"2498","Estonia","Volume of Imports of goods","Percent change","",-8.141,13.632,15.579,17.781,16.559,14.773,24.466,13.817,-7.044,-32.552,23.224,29.139,9.425,-0.422,2.987,-2.058,5.788,4.997,4.769,3.041,-2.156,13
"2499","Estonia","Volume of exports of goods and services","Percent change","",-6.949,6.331,2.821,10.174,17.293,19.921,9.53,12.616,0.897,-20.308,24.217,24.173,4.826,2.801,2.64,-1.502,4.822,4.832,3.881,6.481,-4.978,13.415
"2500","Estonia","Volume of exports of goods","Percent change","",-14.378,9.997,8.815,14.241,18.28,26.73,14.864,16.613,-1.212,-23.899,34.853,32.633,2.725,2.731,1.941,-1.413,5.35,3.247,2.751,6.386,2.442,13
"2501","Estonia","Unemployment","Percent of total labor force","",14.602,13.009,11.227,10.342,10.14,8.031,5.912,4.592,5.455,13.549,16.707,12.325,10.023,8.628,7.351,6.185,6.758,5.763,5.371,4.448,6.806,6.516
"2502","Estonia","Employment","Persons","Millions",0.585,0.59,0.59,0.603,0.602,0.616,0.652,0.658,0.656,0.594,0.568,0.603,0.615,0.621,0.625,0.641,0.645,0.659,0.665,0.671,0.657,0.65
"2503","Estonia","Population","Persons","Millions",1.397,1.388,1.379,1.371,1.363,1.355,1.347,1.341,1.337,1.335,1.331,1.327,1.323,1.318,1.315,1.315,1.316,1.317,1.322,1.327,1.329,1.33
"2504","Estonia","General government revenue","National currency","Billions",2.24,2.456,2.838,3.221,3.564,3.952,4.929,5.983,6.116,6.17,5.965,6.423,6.98,7.3,7.713,8.184,8.478,9.177,10.046,11.089,10.928,12.444
"2505","Estonia","General government revenue","Percent of GDP","",36.289,35.145,36.276,36.83,36.453,34.843,36.326,36.477,36.802,43.661,40.464,38.511,38.958,38.605,38.472,39.669,38.985,38.506,38.91,39.985,40.725,41.241
"2506","Estonia","General government total expenditure","National currency","Billions",2.244,2.443,2.806,3.064,3.33,3.825,4.537,5.533,6.556,6.48,5.937,6.241,7.032,7.266,7.571,8.155,8.568,9.349,10.176,10.945,12.234,13.329
"2507","Estonia","General government total expenditure","Percent of GDP","",36.366,34.969,35.874,35.036,34.059,33.718,33.436,33.738,39.45,45.852,40.274,37.425,39.246,38.424,37.765,39.525,39.397,39.226,39.416,39.466,45.589,44.171
"2508","Estonia","General government net lending/borrowing","National currency","Billions",-0.005,0.012,0.031,0.157,0.234,0.128,0.392,0.449,-0.44,-0.31,0.028,0.181,-0.051,0.034,0.142,0.03,-0.09,-0.171,-0.131,0.144,-1.305,-0.884
"2509","Estonia","General government net lending/borrowing","Percent of GDP","",-0.078,0.176,0.402,1.794,2.394,1.125,2.89,2.74,-2.648,-2.191,0.19,1.086,-0.287,0.181,0.707,0.144,-0.412,-0.719,-0.506,0.519,-4.864,-2.93
"2510","Estonia","General government structural balance","National currency","Billions",0.019,0.039,0.048,0.15,0.194,-0.041,0.018,-0.123,-0.631,0.134,0.149,0.082,0.209,0.236,0.295,0.281,0.073,-0.174,-0.269,-0.029,-1.201,-1.195
"2511","Estonia","General government structural balance","Percent of potential GDP","",0.31,0.555,0.607,1.717,2.007,-0.377,0.144,-0.838,-3.935,0.845,0.926,0.481,1.15,1.218,1.446,1.333,0.33,-0.739,-1.061,-0.108,-4.344,-3.99
"2512","Estonia","General government primary net lending/borrowing","National currency","Billions",NA,0.012,0.033,0.134,0.219,0.108,0.359,0.39,-0.511,-0.342,0.006,0.157,-0.065,0.023,0.134,0.018,-0.104,-0.179,-0.137,0.139,-1.306,-0.884
"2513","Estonia","General government primary net lending/borrowing","Percent of GDP","",-0.003,0.17,0.423,1.534,2.242,0.95,2.646,2.381,-3.076,-2.42,0.039,0.941,-0.361,0.124,0.668,0.089,-0.48,-0.75,-0.53,0.503,-4.869,-2.931
"2514","Estonia","General government net debt","National currency","Billions",-0.017,-0.162,-0.345,-0.644,-0.894,-1.101,-1.473,-1.707,-1.313,-1.346,-1.239,-1.121,-0.857,-0.825,-0.763,-0.418,-0.42,-0.428,-0.456,-0.605,0.682,1.752
"2515","Estonia","General government net debt","Percent of GDP","",-0.274,-2.323,-4.408,-7.361,-9.138,-9.706,-10.856,-10.409,-7.9,-9.522,-8.408,-6.721,-4.784,-4.364,-3.803,-2.025,-1.932,-1.797,-1.766,-2.183,2.54,5.805
"2516","Estonia","General government gross debt","National currency","Billions",0.316,0.333,0.443,0.49,0.5,0.533,0.628,0.618,0.749,1.023,0.982,1.027,1.763,1.934,2.13,2.077,2.174,2.174,2.127,2.372,4.953,6.023
"2517","Estonia","General government gross debt","Percent of GDP","",5.114,4.772,5.662,5.6,5.113,4.7,4.629,3.765,4.51,7.24,6.661,6.16,9.837,10.228,10.624,10.069,9.997,9.121,8.239,8.555,18.458,19.961
